trial,t_s,axis,commanded_m,rendered_m,error_m,pass,blocked,clamped
1,0.52,GT,118.4890,118.4890,0.0000,1,0,0
1,0.52,TR,23.8800,23.8800,0.0000,1,0,0
1,0.52,HO,33.2000,33.2000,0.0000,1,0,0
2,1.04,GT,118.4890,118.4890,0.0000,1,0,0
2,1.04,TR,23.8800,23.8800,0.0000,1,0,0
2,1.04,HO,33.2000,33.2000,0.0000,1,0,0
3,1.56,GT,118.4890,118.4890,0.0000,1,0,0
3,1.56,TR,23.8800,23.8800,0.0000,1,0,0
3,1.56,HO,33.2000,33.2000,0.0000,1,0,0
4,2.08,GT,118.4890,118.4890,0.0000,1,0,0
4,2.08,TR,23.8800,23.8800,0.0000,1,0,0
4,2.08,HO,33.2000,33.2000,0.0000,1,0,0
5,2.60,GT,118.4890,118.4890,0.0000,1,0,0
5,2.60,TR,23.8800,23.8800,0.0000,1,0,0
5,2.60,HO,33.2000,33.2000,0.0000,1,0,0
6,3.12,GT,118.4890,118.4890,0.0000,1,0,0
6,3.12,TR,23.8800,23.8800,0.0000,1,0,0
6,3.12,HO,33.2000,33.2000,0.0000,1,0,0
7,3.64,GT,118.4890,118.4890,0.0000,1,0,0
7,3.64,TR,23.8800,23.8800,0.0000,1,0,0
7,3.64,HO,33.2000,33.2000,0.0000,1,0,0
8,4.16,GT,118.4890,118.4890,0.0000,1,0,0
8,4.16,TR,23.8800,23.8800,0.0000,1,0,0
8,4.16,HO,33.2000,33.2000,0.0000,1,0,0
9,4.68,GT,118.4890,118.4890,0.0000,1,0,0
9,4.68,TR,23.8800,23.8800,0.0000,1,0,0
9,4.68,HO,33.2000,33.2000,0.0000,1,0,0
10,5.20,GT,118.4890,118.4890,0.0000,1,0,0
10,5.20,TR,23.8800,23.8800,0.0000,1,0,0
10,5.20,HO,33.2000,33.2000,0.0000,1,0,0
11,5.72,GT,118.4890,118.4890,0.0000,1,0,0
11,5.72,TR,23.8800,23.8800,0.0000,1,0,0
11,5.72,HO,33.2000,33.2000,0.0000,1,0,0
12,6.24,GT,118.4890,118.4890,0.0000,1,0,0
12,6.24,TR,23.8800,23.8800,0.0000,1,0,0
12,6.24,HO,33.2000,33.2000,0.0000,1,0,0
13,6.76,GT,118.4890,118.4890,0.0000,1,0,0
13,6.76,TR,23.8800,23.8800,0.0000,1,0,0
13,6.76,HO,33.2000,33.2000,0.0000,1,0,0
14,7.28,GT,118.4890,118.4890,0.0000,1,0,0
14,7.28,TR,23.8800,23.8800,0.0000,1,0,0
14,7.28,HO,33.2000,33.2000,0.0000,1,0,0
15,7.80,GT,118.4890,118.4890,0.0000,1,0,0
15,7.80,TR,23.8800,23.8800,0.0000,1,0,0
15,7.80,HO,33.2000,33.2000,0.0000,1,0,0
16,8.32,GT,118.4890,118.4890,0.0000,1,0,0
16,8.32,TR,23.8800,23.8800,0.0000,1,0,0
16,8.32,HO,33.2000,33.2000,0.0000,1,0,0
