seq,crane,container,size_ft,from,to,pick_t_ms,place_t_ms
1,STS,XRPU0140014,40,SHIP/B04/R01/T2,TRUCK/L1,28600,63400
2,STS,XRPU0140020,40,SHIP/B04/R01/T1,TRUCK/L2,100900,139600
3,STS,XRPU0140035,40,SHIP/B04/R02/T1,TRUCK/L3,178500,218500
4,STS,XRPU0140040,40,SHIP/B04/R03/T2,TRUCK/L4,256800,296300
5,STS,XRPU0140056,40,SHIP/B04/R03/T1,TRUCK/L5,337800,380400
6,STS,XRPU0140061,40,SHIP/B04/R04/T1,TRUCK/L1,423500,463400
7,STS,XRPU0140077,40,SHIP/B04/R05/T2,TRUCK/L2,501800,540900
8,STS,XRPU0140082,40,SHIP/B04/R05/T1,TRUCK/L3,582200,624300
9,STS,XRPU0140098,40,SHIP/B04/R06/T1,TRUCK/L4,667100,711100
10,STS,XRPU0140101,40,SHIP/B04/R07/T2,TRUCK/L5,754000,797000
11,STS,XRPU0140117,40,SHIP/B04/R07/T1,TRUCK/L1,842600,883900
12,STS,XRPU0140122,40,SHIP/B04/R08/T1,TRUCK/L2,926500,969600
13,STS,XRPU0140138,40,SHIP/B04/R09/T1,TRUCK/L3,1013500,1058900
14,STS,XRPU0140143,40,SHIP/B04/R10/T1,TRUCK/L4,1104700,1151100
15,STS,XRPU0140159,40,SHIP/B04/R11/T2,TRUCK/L5,1196100,1242200
16,STS,XRPU0140164,40,SHIP/B04/R11/T1,TRUCK/L1,1290700,1335500
17,STS,XRPU0140170,40,SHIP/B04/R12/T1,TRUCK/L2,1381000,1427300
18,STS,XRPU0140185,40,SHIP/B04/R13/T1,TRUCK/L3,1473700,1521900
19,STS,XRPU0140190,40,SHIP/B04/R14/T1,TRUCK/L4,1570400,1619600
20,STS,XRPU0140204,40,SHIP/B04/R15/T2,TRUCK/L5,1667300,1717000
